Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4",Diode_SOD-123,4,Diode,
"S1, S2, S3, S4",MX_PCB_1.00u,4,Keyswitch,
U1,RP2040_Zero,1,RP2040_Zero,
